Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
c36513,Men's ØriginalGrand Longwing Oxfords,Color,Black Croc Print-Black,Width,Medium,Size,14,196414021660,,,Bambu City Center,0,0,0,0,0
c36513,Men's ØriginalGrand Longwing Oxfords,Color,Black Croc Print-Black,Width,Medium,Size,14,196414021660,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c36513,Men's ØriginalGrand Longwing Oxfords,Color,Black Croc Print-Black,Width,Medium,Size,15,196414021677,,,Bambu City Center,0,0,0,0,0
c36513,Men's ØriginalGrand Longwing Oxfords,Color,Black Croc Print-Black,Width,Medium,Size,15,196414021677,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c36513,Men's ØriginalGrand Longwing Oxfords,Color,Black Croc Print-Black,Width,Medium,Size,16,196414021684,,,Bambu City Center,0,0,0,0,0
c36513,Men's ØriginalGrand Longwing Oxfords,Color,Black Croc Print-Black,Width,Medium,Size,16,196414021684,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c36452,Men's Cole Haan x Keith Haring GrandPrø Rally Slip-On Sneakers,Color,Black-White-Red,Width,Medium,Size,7.5,194736932732,,,Bambu City Center,0,0,0,0,0
c36452,Men's Cole Haan x Keith Haring GrandPrø Rally Slip-On Sneakers,Color,Black-White-Red,Width,Medium,Size,7.5,194736932732,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c36452,Men's Cole Haan x Keith Haring GrandPrø Rally Slip-On Sneakers,Color,Black-White-Red,Width,Medium,Size,8,194736932749,,,Bambu City Center,0,0,0,0,0
c36452,Men's Cole Haan x Keith Haring GrandPrø Rally Slip-On Sneakers,Color,Black-White-Red,Width,Medium,Size,8,194736932749,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c36452,Men's Cole Haan x Keith Haring GrandPrø Rally Slip-On Sneakers,Color,Black-White-Red,Width,Medium,Size,8.5,194736932756,,,Bambu City Center,0,0,0,0,0
c36452,Men's Cole Haan x Keith Haring GrandPrø Rally Slip-On Sneakers,Color,Black-White-Red,Width,Medium,Size,8.5,194736932756,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c36452,Men's Cole Haan x Keith Haring GrandPrø Rally Slip-On Sneakers,Color,Black-White-Red,Width,Medium,Size,9,194736932763,,,Bambu City Center,0,0,0,0,0
c36452,Men's Cole Haan x Keith Haring GrandPrø Rally Slip-On Sneakers,Color,Black-White-Red,Width,Medium,Size,9,194736932763,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c36452,Men's Cole Haan x Keith Haring GrandPrø Rally Slip-On Sneakers,Color,Black-White-Red,Width,Medium,Size,9.5,194736932770,,,Bambu City Center,0,0,0,0,0
