Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,DISRESAL: estilo (product.metafields.custom.estilo),DISRESAL: gender (product.metafields.custom.gender),Cole Haan: patternId (product.metafields.custom.patternid),Cole Haan: prod_section_features_label (product.metafields.custom.prod_section_features_label),Cole Haan: prod_section_short_description (product.metafields.custom.prod_section_short_description),Cole Haan: relatedProducts (product.metafields.custom.relatedproducts),Cole Haan: size_chart (product.metafields.custom.size_chart),Cole Haan: styleId (product.metafields.custom.styleid),DISRESAL: U_Categoria (product.metafields.custom.u_categoria),DISRESAL: U_Descrip_Color (product.metafields.custom.u_descrip_color),DISRESAL: U_Genero (product.metafields.custom.u_genero),DISRESAL: U_NEW (product.metafields.custom.u_new),DISRESAL: U_Segmento (product.metafields.custom.u_segmento),DISRESAL: U_Zone (product.metafields.custom.u_zone),DISRESAL: variante_producto (product.metafields.global.variante_producto),DISRESAL: variates_color (product.metafields.global.variates_color),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Grupo de edad (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Material del calzado (product.metafields.shopify.footwear-material),Talla del calzado (product.metafields.shopify.shoe-size),Sexo objetivo (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / El Salvador,Price / El Salvador,Compare At Price / El Salvador,Status
w31612,Women's Chrisee Block Heel Sandals,"<ul>
<li>Leather upper in Dark Cuoio</li>
<li>Outsole with 32 percent recycled rubber; 40mm (1.6-inch) block heel</li>
<li>Cushioned 3D Lux footbed; built-in arch support</li>
<li>Leather lining</li>
</ul>",Cole Haan El Salvador,,Sandals,"CH DK CUOIO LTR, FOOTWEAR, New, OTHER, WFW",true,Color,Cuoio,,Width,Medium,,Size,5,,'196414547603,0.0,shopify,deny,manual,195.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_6db30cb4-63f5-47f3-8dd5-d8ec9d778a5d.jpg?v=1726074688,1,W31612:CH DK CUOIO LTR,false,,,,,,,,,,,,,,w31612,,,,,,,,WFW,CH DK CUOIO LTR,,,FOOTWEAR,OTHER,,,,,,,,,,kg,,,true,195.00,,active
w31612,,,,,,,,,Cuoio,,,Medium,,,5.5,,'196414547610,0.0,shopify,deny,manual,195.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_577bced2-e78e-43c0-bd0f-9b4c7d572456.jpg?v=1726074688,2,W31612:CH DK CUOIO LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,195.00,,
w31612,,,,,,,,,Cuoio,,,Medium,,,6,,'196414547627,0.0,shopify,deny,manual,195.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_7b31b571-e5d3-4e53-abaf-f4aaa4591561.jpg?v=1726074688,3,W31612:CH DK CUOIO LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,195.00,,
w31612,,,,,,,,,Cuoio,,,Medium,,,6.5,,'196414547634,0.0,shopify,deny,manual,195.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_ef4e4c86-866a-4934-897d-165e3e879fd5.jpg?v=1726074688,4,W31612:CH DK CUOIO LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,195.00,,
w31612,,,,,,,,,Cuoio,,,Medium,,,7,,'196414547641,0.0,shopify,deny,manual,195.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_539c57e7-cfec-4471-aa2b-34974e88c602.jpg?v=1726074688,5,W31612:CH DK CUOIO LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,195.00,,
w31612,,,,,,,,,Cuoio,,,Medium,,,7.5,,'196414547658,0.0,shopify,deny,manual,195.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_e9eb952e-4e55-41e7-8260-9596c735adb0.jpg?v=1726074688,6,W31612:CH DK CUOIO LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,195.00,,
w31612,,,,,,,,,Cuoio,,,Medium,,,8,,'196414547665,0.0,shopify,deny,manual,195.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,195.00,,
w31612,,,,,,,,,Cuoio,,,Medium,,,8.5,,'196414547672,0.0,shopify,deny,manual,195.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,195.00,,
w31612,,,,,,,,,Cuoio,,,Medium,,,9,,'196414547689,0.0,shopify,deny,manual,195.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,195.00,,
w31612,,,,,,,,,Cuoio,,,Medium,,,9.5,,'196414547696,0.0,shopify,deny,manual,195.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,195.00,,
w31612,,,,,,,,,Cuoio,,,Medium,,,10,,'196414547573,0.0,shopify,deny,manual,195.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,195.00,,
w31612,,,,,,,,,Cuoio,,,Medium,,,10.5,,'196414547580,0.0,shopify,deny,manual,195.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,195.00,,
w31612,,,,,,,,,Cuoio,,,Medium,,,11,,'196414547597,0.0,shopify,deny,manual,195.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,195.00,,
w31310,Women's Charlsie Loafers,"<ul>
<li>Leather upper in Black; goldtone hardware</li>
<li>High-traction molded rubber outsole; 45mm (1.7-inch) heel</li>
<li>GrandFeel foam footbed</li>
<li>Sheep leather lining</li>
</ul>",Cole Haan El Salvador,,Loafers,"",true,Color,Black,,Width,Medium,,Size,5,,'196414498905,0.0,shopify,deny,manual,310.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_b732eff6-7215-4e3e-bf1a-93e02e014f91.jpg?v=1726074677,1,W31310:BLACK LTR,false,,,,,,,,,,,,,,w27126,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,310.00,,active
w31310,,,,,,,,,Black,,,Medium,,,5.5,,'196414498912,0.0,shopify,deny,manual,310.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_5920e3d1-9133-4941-9608-5f431c977f22.jpg?v=1726074677,2,W31310:BLACK LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,310.00,,
w31310,,,,,,,,,Black,,,Medium,,,6,,'196414498929,0.0,shopify,deny,manual,310.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_c11539d1-7dad-4f8b-8a6c-4d3f984706be.jpg?v=1726074677,3,W31310:BLACK LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,310.00,,
w31310,,,,,,,,,Black,,,Medium,,,6.5,,'196414498936,0.0,shopify,deny,manual,310.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_3004d853-ba7e-4c72-bf08-3f759980a0fe.jpg?v=1726074677,4,W31310:BLACK LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,310.00,,
